GeoFips,GeoName,LineCode,Description,2019
0,United States,707,        Gasoline stations,977200
0,United States,708,        Clothing and clothing accessories stores,1534000
0,United States,709,"        Sporting goods, hobby, musical instrument, and book stores",707900
0,United States,711,        General merchandise stores,3076300
0,United States,712,        Miscellaneous store retailers,1574700
0,United States,713,        Nonstore retailers,2044200
0,United States,800,      Transportation and warehousing,9178600
0,United States,801,        Air transportation,533500
0,United States,802,        Rail transportation,177100
0,United States,803,        Water transportation,73400
0,United States,804,        Truck transportation,2351100
0,United States,805,        Transit and ground passenger transportation,2355000
0,United States,806,        Pipeline transportation,51200
0,United States,807,        Scenic and sightseeing transportation,52700
0,United States,808,        Support activities for transportation,855600
0,United States,809,        Couriers and messengers,1429000
0,United States,811,        Warehousing and storage,1300000
0,United States,900,      Information,3470600
0,United States,901,        Publishing industries (except Internet),928700
0,United States,902,        Motion picture and sound recording industries,538400
0,United States,903,        Broadcasting (except Internet),321900
0,United States,904,        Internet publishing and broadcasting 3/,(NA)
0,United States,905,        Telecommunications,888500
0,United States,906,"        Data processing, hosting, and related services",432900
0,United States,907,        Other information services 3/,360200
0,United States,1000,      Finance and insurance,10959600
0,United States,1001,        Monetary Authorities-central bank,20000
0,United States,1002,        Credit intermediation and related activities,2913200
0,United States,1003,"        Securities, commodity contracts, and other financial investments and related activities",3654300
0,United States,1004,        Insurance carriers and related activities,3779700
0,United States,1005,"        Funds, trusts, and other financial vehicles",592400
0,United States,1100,      Real estate and rental and leasing,9818000
0,United States,1101,        Real estate,8982000
0,United States,1102,        Rental and leasing services,806900
0,United States,1103,        Lessors of nonfinancial intangible assets (except copyrighted works),29100
0,United States,1200,"      Professional, scientific, and technical services",14731300
0,United States,1300,      Management of companies and enterprises,2786000
0,United States,1400,      Administrative and support and waste management and remediation services,12589500
0,United States,1401,        Administrative and support services,12096600
0,United States,1402,        Waste management and remediation services,492900
0,United States,1500,      Educational services,4804200
0,United States,1600,      Health care and social assistance,23091800
0,United States,1601,        Ambulatory health care services,9336300
0,United States,1602,        Hospitals,5188700
0,United States,1603,        Nursing and residential care facilities,3544900
0,United States,1604,        Social assistance,5021900
0,United States,1700,"      Arts, entertainment, and recreation",4864400
0,United States,1701,"        Performing arts, spectator sports, and related industries",2646000
0,United States,1702,"        Museums, historical sites, and similar institutions",186000
0,United States,1703,"        Amusement, gambling, and recreation industries",2032400
0,United States,1800,      Accommodation and food services,15286900
0,United States,1801,        Accommodation,2335300
0,United States,1802,        Food services and drinking places,12951600
0,United States,1900,      Other services (except government and government enterprises),11748900
0,United States,1901,        Repair and maintenance,2442300
0,United States,1902,        Personal and laundry services,4618400
0,United States,1903,"        Religious, grantmaking, civic, professional, and similar organizations",3352200
0,United States,1904,        Private households,1336000
0,United States,2000,    Government and government enterprises,24736000
0,United States,2001,      Federal civilian,2879000
0,United States,2002,      Military,1946000
0,United States,2010,      State and local,19911000
0,United States,2011,        State government,5437000
0,United States,2012,        Local government,14474000
1000,Alabama,,Employment by place of work,
1000,Alabama,10,Total employment (number of jobs),2735740
1000,Alabama,,By type,
1000,Alabama,20,  Wage and salary employment,2127180
1000,Alabama,40,  Proprietors employment,608560
1000,Alabama,50,    Farm proprietors employment,34596
1000,Alabama,60,    Nonfarm proprietors employment 2/,573964
1000,Alabama,,By industry,
1000,Alabama,70,  Farm employment,41785
1000,Alabama,80,  Nonfarm employment,2693955
1000,Alabama,90,    Private nonfarm employment,2284834
1000,Alabama,100,"      Forestry, fishing, and related activities",16515
1000,Alabama,101,        Forestry and logging,6886
1000,Alabama,102,"        Fishing, hunting and trapping",1581
1000,Alabama,103,        Support activities for agriculture and forestry,8048
1000,Alabama,200,"      Mining, quarrying, and oil and gas extraction",9299
1000,Alabama,201,        Oil and gas extraction,2307
1000,Alabama,202,        Mining (except oil and gas),5800
1000,Alabama,203,        Support activities for mining,1192
1000,Alabama,300,      Utilities,13673
1000,Alabama,400,      Construction,153527
1000,Alabama,401,        Construction of buildings,35319
1000,Alabama,402,        Heavy and civil engineering construction,21090
1000,Alabama,403,        Specialty trade contractors,97118
1000,Alabama,500,      Manufacturing,279742
1000,Alabama,510,        Durable goods manufacturing,181169
1000,Alabama,511,          Wood product manufacturing,18334
1000,Alabama,512,          Nonmetallic mineral product manufacturing,7855
1000,Alabama,513,          Primary metal manufacturing,17789
1000,Alabama,514,          Fabricated metal product manufacturing,28133
1000,Alabama,515,          Machinery manufacturing,11354
1000,Alabama,516,          Computer and electronic product manufacturing,8965
1000,Alabama,517,"          Electrical equipment, appliance, and component manufacturing",5771
1000,Alabama,518,"          Motor vehicles, bodies and trailers, and parts manufacturing",43812
1000,Alabama,519,          Other transportation equipment manufacturing,20873
1000,Alabama,521,          Furniture and related product manufacturing,9811
1000,Alabama,522,          Miscellaneous manufacturing,8472
1000,Alabama,530,        Nondurable goods manufacturing,98573
1000,Alabama,531,          Food manufacturing,34702
1000,Alabama,532,          Beverage and tobacco product manufacturing,2602
1000,Alabama,533,          Textile mills,5220
1000,Alabama,534,          Textile product mills,4277
1000,Alabama,535,          Apparel manufacturing,3213
1000,Alabama,536,          Leather and allied product manufacturing,204
1000,Alabama,537,          Paper manufacturing,11504
1000,Alabama,538,          Printing and related support activities,4331
1000,Alabama,539,          Petroleum and coal products manufacturing,2444
1000,Alabama,541,          Chemical manufacturing,11654
1000,Alabama,542,          Plastics and rubber products manufacturing,18422
1000,Alabama,600,      Wholesale trade,82980
1000,Alabama,700,      Retail trade,283529
1000,Alabama,701,        Motor vehicle and parts dealers,38212
1000,Alabama,702,        Furniture and home furnishings stores,8153
1000,Alabama,703,        Electronics and appliance stores,6580
1000,Alabama,704,        Building material and garden equipment and supplies dealers,21812
1000,Alabama,705,        Food and beverage stores,34567
1000,Alabama,706,        Health and personal care stores,20043
1000,Alabama,707,        Gasoline stations,20098
1000,Alabama,708,        Clothing and clothing accessories stores,20209
1000,Alabama,709,"        Sporting goods, hobby, musical instrument, and book stores",11127
1000,Alabama,711,        General merchandise stores,59154
1000,Alabama,712,        Miscellaneous store retailers,22742
1000,Alabama,713,        Nonstore retailers,20832
1000,Alabama,800,      Transportation and warehousing,90046
1000,Alabama,801,        Air transportation,1094
1000,Alabama,802,        Rail transportation,3037
1000,Alabama,803,        Water transportation,493
1000,Alabama,804,        Truck transportation,39943
1000,Alabama,805,        Transit and ground passenger transportation,7879
1000,Alabama,806,        Pipeline transportation,633
1000,Alabama,807,        Scenic and sightseeing transportation,260
1000,Alabama,808,        Support activities for transportation,10361
1000,Alabama,809,        Couriers and messengers,12239
1000,Alabama,811,        Warehousing and storage,14107
1000,Alabama,900,      Information,28129
1000,Alabama,901,        Publishing industries (except Internet),7233
1000,Alabama,902,        Motion picture and sound recording industries,2813
1000,Alabama,903,        Broadcasting (except Internet),4079
1000,Alabama,904,        Internet publishing and broadcasting 3/,(NA)
1000,Alabama,905,        Telecommunications,10288
1000,Alabama,906,"        Data processing, hosting, and related services",3054
1000,Alabama,907,        Other information services 3/,662
1000,Alabama,1000,      Finance and insurance,118803
1000,Alabama,1001,        Monetary Authorities-central bank,(D)
1000,Alabama,1002,        Credit intermediation and related activities,43198
1000,Alabama,1003,"        Securities, commodity contracts, and other financial investments and related activities",26789
1000,Alabama,1004,        Insurance carriers and related activities,44988
1000,Alabama,1005,"        Funds, trusts, and other financial vehicles",(D)
1000,Alabama,1100,      Real estate and rental and leasing,114475
1000,Alabama,1101,        Real estate,104432
1000,Alabama,1102,        Rental and leasing services,9873
1000,Alabama,1103,        Lessors of nonfinancial intangible assets (except copyrighted works),170
1000,Alabama,1200,"      Professional, scientific, and technical services",159330
1000,Alabama,1300,      Management of companies and enterprises,19603
1000,Alabama,1400,      Administrative and support and waste management and remediation services,189764
1000,Alabama,1401,        Administrative and support services,183596
1000,Alabama,1402,        Waste management and remediation services,6168
1000,Alabama,1500,      Educational services,41819
1000,Alabama,1600,      Health care and social assistance,258399
1000,Alabama,1601,        Ambulatory health care services,120915
1000,Alabama,1602,        Hospitals,52483
1000,Alabama,1603,        Nursing and residential care facilities,47131
1000,Alabama,1604,        Social assistance,37870
1000,Alabama,1700,"      Arts, entertainment, and recreation",43059
1000,Alabama,1701,"        Performing arts, spectator sports, and related industries",20409
1000,Alabama,1702,"        Museums, historical sites, and similar institutions",1810
1000,Alabama,1703,"        Amusement, gambling, and recreation industries",20840
1000,Alabama,1800,      Accommodation and food services,203808
1000,Alabama,1801,        Accommodation,21099
1000,Alabama,1802,        Food services and drinking places,182709
1000,Alabama,1900,      Other services (except government and government enterprises),178334
1000,Alabama,1901,        Repair and maintenance,38526
1000,Alabama,1902,        Personal and laundry services,65521
1000,Alabama,1903,"        Religious, grantmaking, civic, professional, and similar organizations",59862
1000,Alabama,1904,        Private households,14425
1000,Alabama,2000,    Government and government enterprises,409121
1000,Alabama,2001,      Federal civilian,54134
1000,Alabama,2002,      Military,29000
1000,Alabama,2010,      State and local,325987
1000,Alabama,2011,        State government,109365
1000,Alabama,2012,        Local government,216622
2000,Alaska,,Employment by place of work,
2000,Alaska,10,Total employment (number of jobs),459788
2000,Alaska,,By type,
2000,Alaska,20,  Wage and salary employment,358567
2000,Alaska,40,  Proprietors employment,101221
2000,Alaska,50,    Farm proprietors employment,919
2000,Alaska,60,    Nonfarm proprietors employment 2/,100302
2000,Alaska,,By industry,
2000,Alaska,70,  Farm employment,1451
2000,Alaska,80,  Nonfarm employment,458337
2000,Alaska,90,    Private nonfarm employment,355966
2000,Alaska,100,"      Forestry, fishing, and related activities",10598
2000,Alaska,101,        Forestry and logging,468
2000,Alaska,102,"        Fishing, hunting and trapping",9577
2000,Alaska,103,        Support activities for agriculture and forestry,553
2000,Alaska,200,"      Mining, quarrying, and oil and gas extraction",15393
2000,Alaska,201,        Oil and gas extraction,3976
2000,Alaska,202,        Mining (except oil and gas),4706
2000,Alaska,203,        Support activities for mining,6711
2000,Alaska,300,      Utilities,2298
2000,Alaska,400,      Construction,23996
2000,Alaska,401,        Construction of buildings,6719
2000,Alaska,402,        Heavy and civil engineering construction,5005
2000,Alaska,403,        Specialty trade contractors,12272
2000,Alaska,500,      Manufacturing,15800
2000,Alaska,510,        Durable goods manufacturing,3635
2000,Alaska,511,          Wood product manufacturing,518
2000,Alaska,512,          Nonmetallic mineral product manufacturing,429
2000,Alaska,513,          Primary metal manufacturing,38
2000,Alaska,514,          Fabricated metal product manufacturing,679
2000,Alaska,515,          Machinery manufacturing,138
2000,Alaska,516,          Computer and electronic product manufacturing,161
2000,Alaska,517,"          Electrical equipment, appliance, and component manufacturing",(D)
2000,Alaska,518,"          Motor vehicles, bodies and trailers, and parts manufacturing",(D)
2000,Alaska,519,          Other transportation equipment manufacturing,(D)
2000,Alaska,521,          Furniture and related product manufacturing,(D)
2000,Alaska,522,          Miscellaneous manufacturing,729
2000,Alaska,530,        Nondurable goods manufacturing,12165
2000,Alaska,531,          Food manufacturing,10017
2000,Alaska,532,          Beverage and tobacco product manufacturing,658
2000,Alaska,533,          Textile mills,(D)
2000,Alaska,534,          Textile product mills,109
2000,Alaska,535,          Apparel manufacturing,169
2000,Alaska,536,          Leather and allied product manufacturing,(D)
2000,Alaska,537,          Paper manufacturing,(D)
2000,Alaska,538,          Printing and related support activities,409
2000,Alaska,539,          Petroleum and coal products manufacturing,(D)
2000,Alaska,541,          Chemical manufacturing,182
2000,Alaska,542,          Plastics and rubber products manufacturing,(D)
2000,Alaska,600,      Wholesale trade,7585
2000,Alaska,700,      Retail trade,44552
2000,Alaska,701,        Motor vehicle and parts dealers,4408
2000,Alaska,702,        Furniture and home furnishings stores,863
2000,Alaska,703,        Electronics and appliance stores,620
2000,Alaska,704,        Building material and garden equipment and supplies dealers,3677
2000,Alaska,705,        Food and beverage stores,5772
2000,Alaska,706,        Health and personal care stores,1487
2000,Alaska,707,        Gasoline stations,1790
2000,Alaska,708,        Clothing and clothing accessories stores,2293
2000,Alaska,709,"        Sporting goods, hobby, musical instrument, and book stores",2679
2000,Alaska,711,        General merchandise stores,10555
2000,Alaska,712,        Miscellaneous store retailers,4993
2000,Alaska,713,        Nonstore retailers,5415
2000,Alaska,800,      Transportation and warehousing,25748
2000,Alaska,801,        Air transportation,6519
2000,Alaska,802,        Rail transportation,1
2000,Alaska,803,        Water transportation,1377
2000,Alaska,804,        Truck transportation,3402
2000,Alaska,805,        Transit and ground passenger transportation,4249
2000,Alaska,806,        Pipeline transportation,(D)
2000,Alaska,807,        Scenic and sightseeing transportation,2691
2000,Alaska,808,        Support activities for transportation,3028
2000,Alaska,809,        Couriers and messengers,(D)
2000,Alaska,811,        Warehousing and storage,576
2000,Alaska,900,      Information,6440
2000,Alaska,901,        Publishing industries (except Internet),753
2000,Alaska,902,        Motion picture and sound recording industries,620
2000,Alaska,903,        Broadcasting (except Internet),778
2000,Alaska,904,        Internet publishing and broadcasting 3/,(NA)
2000,Alaska,905,        Telecommunications,3921
2000,Alaska,906,"        Data processing, hosting, and related services",232
2000,Alaska,907,        Other information services 3/,136
2000,Alaska,1000,      Finance and insurance,11763
2000,Alaska,1001,        Monetary Authorities-central bank,0
2000,Alaska,1002,        Credit intermediation and related activities,4728
2000,Alaska,1003,"        Securities, commodity contracts, and other financial investments and related activities",(D)
2000,Alaska,1004,        Insurance carriers and related activities,2818
2000,Alaska,1005,"        Funds, trusts, and other financial vehicles",(D)
2000,Alaska,1100,      Real estate and rental and leasing,18145
2000,Alaska,1101,        Real estate,15008
2000,Alaska,1102,        Rental and leasing services,(D)
2000,Alaska,1103,        Lessors of nonfinancial intangible assets (except copyrighted works),(D)
2000,Alaska,1200,"      Professional, scientific, and technical services",23944
2000,Alaska,1300,      Management of companies and enterprises,3547
2000,Alaska,1400,      Administrative and support and waste management and remediation services,17475
2000,Alaska,1401,        Administrative and support services,15707
2000,Alaska,1402,        Waste management and remediation services,1768
2000,Alaska,1500,      Educational services,5895
2000,Alaska,1600,      Health care and social assistance,53422
2000,Alaska,1601,        Ambulatory health care services,24423
2000,Alaska,1602,        Hospitals,13559
2000,Alaska,1603,        Nursing and residential care facilities,4279
2000,Alaska,1604,        Social assistance,11161
2000,Alaska,1700,"      Arts, entertainment, and recreation",11268
2000,Alaska,1701,"        Performing arts, spectator sports, and related industries",5618
2000,Alaska,1702,"        Museums, historical sites, and similar institutions",488
2000,Alaska,1703,"        Amusement, gambling, and recreation industries",5162
2000,Alaska,1800,      Accommodation and food services,36833
2000,Alaska,1801,        Accommodation,12498
2000,Alaska,1802,        Food services and drinking places,24335
2000,Alaska,1900,      Other services (except government and government enterprises),21264
2000,Alaska,1901,        Repair and maintenance,5184
2000,Alaska,1902,        Personal and laundry services,6172
2000,Alaska,1903,"        Religious, grantmaking, civic, professional, and similar organizations",8006
2000,Alaska,1904,        Private households,1902
2000,Alaska,2000,    Government and government enterprises,102371
2000,Alaska,2001,      Federal civilian,14866
2000,Alaska,2002,      Military,25806
2000,Alaska,2010,      State and local,61699
2000,Alaska,2011,        State government,23214
2000,Alaska,2012,        Local government,38485
4000,Arizona,,Employment by place of work,
4000,Arizona,10,Total employment (number of jobs),3969347
4000,Arizona,,By type,
4000,Arizona,20,  Wage and salary employment,3048198
4000,Arizona,40,  Proprietors employment,921149
4000,Arizona,50,    Farm proprietors employment,17856
4000,Arizona,60,    Nonfarm proprietors employment 2/,903293
4000,Arizona,,By industry,
4000,Arizona,70,  Farm employment,29799
4000,Arizona,80,  Nonfarm employment,3939548
4000,Arizona,90,    Private nonfarm employment,3480754
4000,Arizona,100,"      Forestry, fishing, and related activities",16268
4000,Arizona,101,        Forestry and logging,373
4000,Arizona,102,"        Fishing, hunting and trapping",784
4000,Arizona,103,        Support activities for agriculture and forestry,15111
4000,Arizona,200,"      Mining, quarrying, and oil and gas extraction",19406
4000,Arizona,201,        Oil and gas extraction,4545
4000,Arizona,202,        Mining (except oil and gas),13619
4000,Arizona,203,        Support activities for mining,1242
4000,Arizona,300,      Utilities,12749
4000,Arizona,400,      Construction,234021
4000,Arizona,401,        Construction of buildings,48031
4000,Arizona,402,        Heavy and civil engineering construction,23312
4000,Arizona,403,        Specialty trade contractors,162678
4000,Arizona,500,      Manufacturing,192125
4000,Arizona,510,        Durable goods manufacturing,144154
4000,Arizona,511,          Wood product manufacturing,5319
4000,Arizona,512,          Nonmetallic mineral product manufacturing,8114
4000,Arizona,513,          Primary metal manufacturing,4206
4000,Arizona,514,          Fabricated metal product manufacturing,22340
4000,Arizona,515,          Machinery manufacturing,8830
4000,Arizona,516,          Computer and electronic product manufacturing,33597
4000,Arizona,517,"          Electrical equipment, appliance, and component manufacturing",3878
4000,Arizona,518,"          Motor vehicles, bodies and trailers, and parts manufacturing",3721
4000,Arizona,519,          Other transportation equipment manufacturing,31472
4000,Arizona,521,          Furniture and related product manufacturing,6984
4000,Arizona,522,          Miscellaneous manufacturing,15693
4000,Arizona,530,        Nondurable goods manufacturing,47971
4000,Arizona,531,          Food manufacturing,15341
4000,Arizona,532,          Beverage and tobacco product manufacturing,4951
4000,Arizona,533,          Textile mills,285
4000,Arizona,534,          Textile product mills,880
4000,Arizona,535,          Apparel manufacturing,1032
4000,Arizona,536,          Leather and allied product manufacturing,584
4000,Arizona,537,          Paper manufacturing,2296
4000,Arizona,538,          Printing and related support activities,7420
4000,Arizona,539,          Petroleum and coal products manufacturing,264
4000,Arizona,541,          Chemical manufacturing,8957
4000,Arizona,542,          Plastics and rubber products manufacturing,5961
4000,Arizona,600,      Wholesale trade,112782
4000,Arizona,700,      Retail trade,397348
4000,Arizona,701,        Motor vehicle and parts dealers,53713
4000,Arizona,702,        Furniture and home furnishings stores,11484
4000,Arizona,703,        Electronics and appliance stores,10416
4000,Arizona,704,        Building material and garden equipment and supplies dealers,27731
4000,Arizona,705,        Food and beverage stores,61610
4000,Arizona,706,        Health and personal care stores,24214
4000,Arizona,707,        Gasoline stations,18200
4000,Arizona,708,        Clothing and clothing accessories stores,25126
4000,Arizona,709,"        Sporting goods, hobby, musical instrument, and book stores",14067
4000,Arizona,711,        General merchandise stores,65223
4000,Arizona,712,        Miscellaneous store retailers,35986
4000,Arizona,713,        Nonstore retailers,49578
4000,Arizona,800,      Transportation and warehousing,176543
4000,Arizona,801,        Air transportation,14872
4000,Arizona,802,        Rail transportation,(D)
4000,Arizona,803,        Water transportation,75
4000,Arizona,804,        Truck transportation,35429
4000,Arizona,805,        Transit and ground passenger transportation,47951
4000,Arizona,806,        Pipeline transportation,513
4000,Arizona,807,        Scenic and sightseeing transportation,1185
4000,Arizona,808,        Support activities for transportation,15867
4000,Arizona,809,        Couriers and messengers,(D)
4000,Arizona,811,        Warehousing and storage,27786
4000,Arizona,900,      Information,61298
4000,Arizona,901,        Publishing industries (except Internet),12282
4000,Arizona,902,        Motion picture and sound recording industries,8529
4000,Arizona,903,        Broadcasting (except Internet),4757
4000,Arizona,904,        Internet publishing and broadcasting 3/,(NA)
4000,Arizona,905,        Telecommunications,19408
4000,Arizona,906,"        Data processing, hosting, and related services",12171
4000,Arizona,907,        Other information services 3/,4151
4000,Arizona,1000,      Finance and insurance,267352
4000,Arizona,1001,        Monetary Authorities-central bank,64
4000,Arizona,1002,        Credit intermediation and related activities,95185
4000,Arizona,1003,"        Securities, commodity contracts, and other financial investments and related activities",70280
4000,Arizona,1004,        Insurance carriers and related activities,89202
4000,Arizona,1005,"        Funds, trusts, and other financial vehicles",12621
4000,Arizona,1100,      Real estate and rental and leasing,229393
4000,Arizona,1101,        Real estate,207647
4000,Arizona,1102,        Rental and leasing services,20831
4000,Arizona,1103,        Lessors of nonfinancial intangible assets (except copyrighted works),915
4000,Arizona,1200,"      Professional, scientific, and technical services",261327
4000,Arizona,1300,      Management of companies and enterprises,39601
4000,Arizona,1400,      Administrative and support and waste management and remediation services,322824
4000,Arizona,1401,        Administrative and support services,315025
4000,Arizona,1402,        Waste management and remediation services,7799
4000,Arizona,1500,      Educational services,81329
4000,Arizona,1600,      Health care and social assistance,449314
4000,Arizona,1601,        Ambulatory health care services,205043
4000,Arizona,1602,        Hospitals,100874
4000,Arizona,1603,        Nursing and residential care facilities,62879
4000,Arizona,1604,        Social assistance,80518
4000,Arizona,1700,"      Arts, entertainment, and recreation",90754
4000,Arizona,1701,"        Performing arts, spectator sports, and related industries",49982
4000,Arizona,1702,"        Museums, historical sites, and similar institutions",3289
4000,Arizona,1703,"        Amusement, gambling, and recreation industries",37483
4000,Arizona,1800,      Accommodation and food services,307895
4000,Arizona,1801,        Accommodation,50755
4000,Arizona,1802,        Food services and drinking places,257140
4000,Arizona,1900,      Other services (except government and government enterprises),208425
4000,Arizona,1901,        Repair and maintenance,50885
4000,Arizona,1902,        Personal and laundry services,83146
4000,Arizona,1903,"        Religious, grantmaking, civic, professional, and similar organizations",44544
4000,Arizona,1904,        Private households,29850
4000,Arizona,2000,    Government and government enterprises,458794
4000,Arizona,2001,      Federal civilian,56554
4000,Arizona,2002,      Military,34735
4000,Arizona,2010,      State and local,367505
4000,Arizona,2011,        State government,94448
4000,Arizona,2012,        Local government,273057
5000,Arkansas,,Employment by place of work,
5000,Arkansas,10,Total employment (number of jobs),1673743
5000,Arkansas,,By type,
5000,Arkansas,20,  Wage and salary employment,1304362
5000,Arkansas,40,  Proprietors employment,369381
5000,Arkansas,50,    Farm proprietors employment,38277
5000,Arkansas,60,    Nonfarm proprietors employment 2/,331104
5000,Arkansas,,By industry,
5000,Arkansas,70,  Farm employment,52433
5000,Arkansas,80,  Nonfarm employment,1621310
5000,Arkansas,90,    Private nonfarm employment,1395780
5000,Arkansas,100,"      Forestry, fishing, and related activities",15076
5000,Arkansas,101,        Forestry and logging,4346
5000,Arkansas,102,"        Fishing, hunting and trapping",871
5000,Arkansas,103,        Support activities for agriculture and forestry,9859
5000,Arkansas,200,"      Mining, quarrying, and oil and gas extraction",9834
5000,Arkansas,201,        Oil and gas extraction,5751
5000,Arkansas,202,        Mining (except oil and gas),2397
5000,Arkansas,203,        Support activities for mining,1686
5000,Arkansas,300,      Utilities,8018
5000,Arkansas,400,      Construction,93089
5000,Arkansas,401,        Construction of buildings,19738
5000,Arkansas,402,        Heavy and civil engineering construction,10990
5000,Arkansas,403,        Specialty trade contractors,62361
5000,Arkansas,500,      Manufacturing,167950
5000,Arkansas,510,        Durable goods manufacturing,80623
5000,Arkansas,511,          Wood product manufacturing,10196
5000,Arkansas,512,          Nonmetallic mineral product manufacturing,4056
5000,Arkansas,513,          Primary metal manufacturing,8617
5000,Arkansas,514,          Fabricated metal product manufacturing,15491
5000,Arkansas,515,          Machinery manufacturing,12362
5000,Arkansas,516,          Computer and electronic product manufacturing,2016
5000,Arkansas,517,"          Electrical equipment, appliance, and component manufacturing",4542
5000,Arkansas,518,"          Motor vehicles, bodies and trailers, and parts manufacturing",(D)
5000,Arkansas,519,          Other transportation equipment manufacturing,(D)
5000,Arkansas,521,          Furniture and related product manufacturing,3835
5000,Arkansas,522,          Miscellaneous manufacturing,4114
5000,Arkansas,530,        Nondurable goods manufacturing,87327
5000,Arkansas,531,          Food manufacturing,49802
5000,Arkansas,532,          Beverage and tobacco product manufacturing,1577
5000,Arkansas,533,          Textile mills,179
5000,Arkansas,534,          Textile product mills,967
5000,Arkansas,535,          Apparel manufacturing,1069
5000,Arkansas,536,          Leather and allied product manufacturing,1265
5000,Arkansas,537,          Paper manufacturing,9626
5000,Arkansas,538,          Printing and related support activities,4226
5000,Arkansas,539,          Petroleum and coal products manufacturing,1295
5000,Arkansas,541,          Chemical manufacturing,6225
5000,Arkansas,542,          Plastics and rubber products manufacturing,11096
5000,Arkansas,600,      Wholesale trade,51987
5000,Arkansas,700,      Retail trade,168641
5000,Arkansas,701,        Motor vehicle and parts dealers,22712
5000,Arkansas,702,        Furniture and home furnishings stores,4264
5000,Arkansas,703,        Electronics and appliance stores,3374
5000,Arkansas,704,        Building material and garden equipment and supplies dealers,12508
5000,Arkansas,705,        Food and beverage stores,20561
5000,Arkansas,706,        Health and personal care stores,10626
5000,Arkansas,707,        Gasoline stations,12866
5000,Arkansas,708,        Clothing and clothing accessories stores,9539
5000,Arkansas,709,"        Sporting goods, hobby, musical instrument, and book stores",5958
5000,Arkansas,711,        General merchandise stores,37991
5000,Arkansas,712,        Miscellaneous store retailers,14548
5000,Arkansas,713,        Nonstore retailers,13694
5000,Arkansas,800,      Transportation and warehousing,75800
5000,Arkansas,801,        Air transportation,1039
5000,Arkansas,802,        Rail transportation,3021
5000,Arkansas,803,        Water transportation,57
5000,Arkansas,804,        Truck transportation,41751
5000,Arkansas,805,        Transit and ground passenger transportation,5200
5000,Arkansas,806,        Pipeline transportation,409
5000,Arkansas,807,        Scenic and sightseeing transportation,70
5000,Arkansas,808,        Support activities for transportation,6780
5000,Arkansas,809,        Couriers and messengers,8095
5000,Arkansas,811,        Warehousing and storage,9378
5000,Arkansas,900,      Information,14474
5000,Arkansas,901,        Publishing industries (except Internet),3566
5000,Arkansas,902,        Motion picture and sound recording industries,1650
5000,Arkansas,903,        Broadcasting (except Internet),1970
5000,Arkansas,904,        Internet publishing and broadcasting 3/,(NA)
5000,Arkansas,905,        Telecommunications,4614
5000,Arkansas,906,"        Data processing, hosting, and related services",2213
5000,Arkansas,907,        Other information services 3/,461
