"States and selected areas:  Employment status of the civilian noninstitutional population,",,,,,,,,,,
"January 1976 to date, not seasonally adjusted",,,,,,,,,,
,,,,,,,,,,
FIPS Code,State and area,Period,,Civilian non-institutional population,Civilian labor force,,,,,
31,Nebraska,1976,02,"1,096,000   ","710,717   ",64.8   ,"680,228   ",62.1   ,"30,489   ",4.3   
32,Nevada,1976,02,"454,000   ","319,746   ",70.4   ,"287,895   ",63.4   ,"31,851   ",10.0   
33,New Hampshire,1976,02,"595,000   ","385,167   ",64.7   ,"354,352   ",59.6   ,"30,815   ",8.0   
34,New Jersey,1976,02,"5,363,000   ","3,232,981   ",60.3   ,"2,882,556   ",53.7   ,"350,425   ",10.8   
35,New Mexico,1976,02,"795,000   ","466,790   ",58.7   ,"424,410   ",53.4   ,"42,380   ",9.1   
36,New York,1976,02,"13,202,000   ","7,623,500   ",57.7   ,"6,769,516   ",51.3   ,"853,984   ",11.2   
51000,New York city,1976,02,"5,692,000   ","3,125,104   ",54.9   ,"2,762,371   ",48.5   ,"362,733   ",11.6   
37,North Carolina,1976,02,"3,905,000   ","2,547,938   ",65.2   ,"2,357,077   ",60.4   ,"190,861   ",7.5   
38,North Dakota,1976,02,"443,000   ","267,120   ",60.3   ,"255,205   ",57.6   ,"11,915   ",4.5   
39,Ohio,1976,02,"7,706,000   ","4,691,022   ",60.9   ,"4,261,115   ",55.3   ,"429,907   ",9.2   
40,Oklahoma,1976,02,"2,003,000   ","1,159,997   ",57.9   ,"1,079,320   ",53.9   ,"80,677   ",7.0   
41,Oregon,1976,02,"1,720,000   ","1,055,282   ",61.4   ,"933,262   ",54.3   ,"122,020   ",11.6   
42,Pennsylvania,1976,02,"8,780,000   ","5,027,694   ",57.3   ,"4,569,132   ",52.0   ,"458,562   ",9.1   
44,Rhode Island,1976,02,"692,000   ","432,221   ",62.5   ,"390,860   ",56.5   ,"41,361   ",9.6   
45,South Carolina,1976,02,"1,988,000   ","1,278,087   ",64.3   ,"1,168,994   ",58.8   ,"109,093   ",8.5   
46,South Dakota,1976,02,"478,000   ","299,281   ",62.6   ,"286,613   ",60.0   ,"12,668   ",4.2   
47,Tennessee,1976,02,"3,084,000   ","1,778,704   ",57.7   ,"1,656,126   ",53.7   ,"122,578   ",6.9   
48,Texas,1976,02,"8,844,000   ","5,529,265   ",62.5   ,"5,186,271   ",58.6   ,"342,994   ",6.2   
49,Utah,1976,02,"826,000   ","509,064   ",61.6   ,"473,522   ",57.3   ,"35,542   ",7.0   
50,Vermont,1976,02,"340,000   ","209,637   ",61.7   ,"189,138   ",55.6   ,"20,499   ",9.8   
51,Virginia,1976,02,"3,543,000   ","2,292,451   ",64.7   ,"2,139,095   ",60.4   ,"153,356   ",6.7   
53,Washington,1976,02,"2,604,000   ","1,562,827   ",60.0   ,"1,398,713   ",53.7   ,"164,114   ",10.5   
54,West Virginia,1976,02,"1,355,000   ","692,343   ",51.1   ,"626,993   ",46.3   ,"65,350   ",9.4   
55,Wisconsin,1976,02,"3,248,000   ","2,104,300   ",64.8   ,"1,943,979   ",59.9   ,"160,321   ",7.6   
56,Wyoming,1976,02,"271,000   ","170,430   ",62.9   ,"161,946   ",59.8   ,"8,484   ",5.0   
01,Alabama,1976,03,"2,615,000   ","1,473,416   ",56.3   ,"1,383,132   ",52.9   ,"90,284   ",6.1   
02,Alaska,1976,03,"236,000   ","156,523   ",66.3   ,"142,663   ",60.5   ,"13,860   ",8.9   
04,Arizona,1976,03,"1,631,000   ","959,519   ",58.8   ,"864,711   ",53.0   ,"94,808   ",9.9   
05,Arkansas,1976,03,"1,539,000   ","872,759   ",56.7   ,"805,788   ",52.4   ,"66,971   ",7.7   
06,California,1976,03,"15,694,000   ","9,703,893   ",61.8   ,"8,796,613   ",56.1   ,"907,280   ",9.3   
037,Los Angeles County,1976,03,"5,292,000   ","3,360,733   ",63.5   ,"3,067,708   ",58.0   ,"293,025   ",8.7   
08,Colorado,1976,03,"1,841,000   ","1,215,419   ",66.0   ,"1,135,668   ",61.7   ,"79,751   ",6.6   
09,Connecticut,1976,03,"2,253,000   ","1,422,053   ",63.1   ,"1,283,562   ",57.0   ,"138,491   ",9.7   
10,Delaware,1976,03,"418,000   ","261,829   ",62.6   ,"240,665   ",57.6   ,"21,164   ",8.1   
11,District of Columbia,1976,03,"519,000   ","337,671   ",65.1   ,"307,179   ",59.2   ,"30,492   ",9.0   
12,Florida,1976,03,"6,452,000   ","3,543,627   ",54.9   ,"3,215,564   ",49.8   ,"328,063   ",9.3   
13,Georgia,1976,03,"3,534,000   ","2,230,018   ",63.1   ,"2,051,618   ",58.1   ,"178,400   ",8.0   
15,Hawaii,1976,03,"586,000   ","409,411   ",69.9   ,"367,279   ",62.7   ,"42,132   ",10.3   
16,Idaho,1976,03,"583,000   ","359,333   ",61.6   ,"334,057   ",57.3   ,"25,276   ",7.0   
17,Illinois,1976,03,"8,146,000   ","5,069,914   ",62.2   ,"4,723,593   ",58.0   ,"346,321   ",6.8   
18,Indiana,1976,03,"3,797,000   ","2,392,516   ",63.0   ,"2,218,715   ",58.4   ,"173,801   ",7.3   
19,Iowa,1976,03,"2,072,000   ","1,317,410   ",63.6   ,"1,251,905   ",60.4   ,"65,505   ",5.0   
20,Kansas,1976,03,"1,640,000   ","1,051,515   ",64.1   ,"1,003,980   ",61.2   ,"47,535   ",4.5   
21,Kentucky,1976,03,"2,470,000   ","1,480,391   ",59.9   ,"1,390,768   ",56.3   ,"89,623   ",6.1   
22,Louisiana,1976,03,"2,685,000   ","1,491,189   ",55.5   ,"1,399,283   ",52.1   ,"91,906   ",6.2   
23,Maine,1976,03,"767,000   ","466,469   ",60.8   ,"420,205   ",54.8   ,"46,264   ",9.9   
24,Maryland,1976,03,"2,962,000   ","1,891,251   ",63.9   ,"1,765,406   ",59.6   ,"125,845   ",6.7   
25,Massachusetts,1976,03,"4,201,000   ","2,692,810   ",64.1   ,"2,398,288   ",57.1   ,"294,522   ",10.9   
26,Michigan,1976,03,"6,430,000   ","3,923,788   ",61.0   ,"3,503,704   ",54.5   ,"420,084   ",10.7   
27,Minnesota,1976,03,"2,797,000   ","1,813,557   ",64.8   ,"1,689,115   ",60.4   ,"124,442   ",6.9   
28,Mississippi,1976,03,"1,647,000   ","947,087   ",57.5   ,"889,215   ",54.0   ,"57,872   ",6.1   
29,Missouri,1976,03,"3,473,000   ","2,069,964   ",59.6   ,"1,941,274   ",55.9   ,"128,690   ",6.2   
30,Montana,1976,03,"533,000   ","322,645   ",60.5   ,"299,983   ",56.3   ,"22,662   ",7.0   
31,Nebraska,1976,03,"1,097,000   ","711,330   ",64.8   ,"685,433   ",62.5   ,"25,897   ",3.6   
32,Nevada,1976,03,"456,000   ","317,464   ",69.6   ,"289,213   ",63.4   ,"28,251   ",8.9   
33,New Hampshire,1976,03,"596,000   ","389,352   ",65.3   ,"359,346   ",60.3   ,"30,006   ",7.7   
34,New Jersey,1976,03,"5,367,000   ","3,251,643   ",60.6   ,"2,911,865   ",54.3   ,"339,778   ",10.4   
35,New Mexico,1976,03,"798,000   ","466,803   ",58.5   ,"424,359   ",53.2   ,"42,444   ",9.1   
36,New York,1976,03,"13,207,000   ","7,622,827   ",57.7   ,"6,819,330   ",51.6   ,"803,497   ",10.5   
51000,New York city,1976,03,"5,690,000   ","3,104,370   ",54.6   ,"2,771,049   ",48.7   ,"333,321   ",10.7   
37,North Carolina,1976,03,"3,912,000   ","2,541,853   ",65.0   ,"2,379,457   ",60.8   ,"162,396   ",6.4   
38,North Dakota,1976,03,"444,000   ","269,440   ",60.7   ,"257,650   ",58.0   ,"11,790   ",4.4   
39,Ohio,1976,03,"7,711,000   ","4,716,986   ",61.2   ,"4,304,058   ",55.8   ,"412,928   ",8.8   
40,Oklahoma,1976,03,"2,007,000   ","1,172,149   ",58.4   ,"1,097,873   ",54.7   ,"74,276   ",6.3   
41,Oregon,1976,03,"1,724,000   ","1,059,434   ",61.5   ,"942,420   ",54.7   ,"117,014   ",11.0   
42,Pennsylvania,1976,03,"8,786,000   ","5,045,340   ",57.4   ,"4,609,972   ",52.5   ,"435,368   ",8.6   
44,Rhode Island,1976,03,"693,000   ","430,399   ",62.1   ,"391,795   ",56.5   ,"38,604   ",9.0   
45,South Carolina,1976,03,"1,992,000   ","1,275,458   ",64.0   ,"1,185,693   ",59.5   ,"89,765   ",7.0   
46,South Dakota,1976,03,"478,000   ","303,011   ",63.4   ,"290,505   ",60.8   ,"12,506   ",4.1   
47,Tennessee,1976,03,"3,091,000   ","1,787,456   ",57.8   ,"1,679,539   ",54.3   ,"107,917   ",6.0   
48,Texas,1976,03,"8,870,000   ","5,580,839   ",62.9   ,"5,260,114   ",59.3   ,"320,725   ",5.7   
49,Utah,1976,03,"828,000   ","509,632   ",61.5   ,"477,432   ",57.7   ,"32,200   ",6.3   
50,Vermont,1976,03,"341,000   ","210,858   ",61.8   ,"190,759   ",55.9   ,"20,099   ",9.5   
51,Virginia,1976,03,"3,551,000   ","2,311,805   ",65.1   ,"2,168,090   ",61.1   ,"143,715   ",6.2   
53,Washington,1976,03,"2,611,000   ","1,578,879   ",60.5   ,"1,423,403   ",54.5   ,"155,476   ",9.8   
54,West Virginia,1976,03,"1,358,000   ","688,881   ",50.7   ,"628,433   ",46.3   ,"60,448   ",8.8   
55,Wisconsin,1976,03,"3,252,000   ","2,095,270   ",64.4   ,"1,956,096   ",60.2   ,"139,174   ",6.6   
56,Wyoming,1976,03,"272,000   ","173,216   ",63.7   ,"164,733   ",60.6   ,"8,483   ",4.9   
01,Alabama,1976,04,"2,620,000   ","1,478,039   ",56.4   ,"1,394,337   ",53.2   ,"83,702   ",5.7   
02,Alaska,1976,04,"237,000   ","155,914   ",65.8   ,"144,239   ",60.9   ,"11,675   ",7.5   
04,Arizona,1976,04,"1,636,000   ","962,370   ",58.8   ,"873,621   ",53.4   ,"88,749   ",9.2   
05,Arkansas,1976,04,"1,541,000   ","880,584   ",57.1   ,"819,089   ",53.2   ,"61,495   ",7.0   
06,California,1976,04,"15,731,000   ","9,718,670   ",61.8   ,"8,865,150   ",56.4   ,"853,520   ",8.8   
037,Los Angeles County,1976,04,"5,302,000   ","3,356,800   ",63.3   ,"3,078,470   ",58.1   ,"278,330   ",8.3   
08,Colorado,1976,04,"1,846,000   ","1,213,197   ",65.7   ,"1,149,830   ",62.3   ,"63,367   ",5.2   
09,Connecticut,1976,04,"2,255,000   ","1,431,193   ",63.5   ,"1,297,735   ",57.5   ,"133,458   ",9.3   
10,Delaware,1976,04,"419,000   ","262,682   ",62.7   ,"241,801   ",57.7   ,"20,881   ",7.9   
11,District of Columbia,1976,04,"518,000   ","334,375   ",64.6   ,"306,797   ",59.2   ,"27,578   ",8.2   
12,Florida,1976,04,"6,468,000   ","3,556,268   ",55.0   ,"3,252,512   ",50.3   ,"303,756   ",8.5   
13,Georgia,1976,04,"3,540,000   ","2,232,165   ",63.1   ,"2,063,244   ",58.3   ,"168,921   ",7.6   
15,Hawaii,1976,04,"588,000   ","411,017   ",69.9   ,"370,966   ",63.1   ,"40,051   ",9.7   
16,Idaho,1976,04,"585,000   ","361,490   ",61.8   ,"339,862   ",58.1   ,"21,628   ",6.0   
17,Illinois,1976,04,"8,155,000   ","5,082,500   ",62.3   ,"4,767,330   ",58.5   ,"315,170   ",6.2   
18,Indiana,1976,04,"3,801,000   ","2,407,474   ",63.3   ,"2,260,246   ",59.5   ,"147,228   ",6.1   
19,Iowa,1976,04,"2,075,000   ","1,323,204   ",63.8   ,"1,269,491   ",61.2   ,"53,713   ",4.1   
20,Kansas,1976,04,"1,642,000   ","1,056,821   ",64.4   ,"1,012,586   ",61.7   ,"44,235   ",4.2   
21,Kentucky,1976,04,"2,475,000   ","1,479,650   ",59.8   ,"1,407,175   ",56.9   ,"72,475   ",4.9   
22,Louisiana,1976,04,"2,692,000   ","1,503,346   ",55.8   ,"1,417,453   ",52.7   ,"85,893   ",5.7   
23,Maine,1976,04,"769,000   ","467,876   ",60.8   ,"425,753   ",55.4   ,"42,123   ",9.0   
24,Maryland,1976,04,"2,966,000   ","1,882,872   ",63.5   ,"1,767,782   ",59.6   ,"115,090   ",6.1   
25,Massachusetts,1976,04,"4,204,000   ","2,686,259   ",63.9   ,"2,420,547   ",57.6   ,"265,712   ",9.9   
26,Michigan,1976,04,"6,436,000   ","3,929,358   ",61.1   ,"3,544,627   ",55.1   ,"384,731   ",9.8   
27,Minnesota,1976,04,"2,802,000   ","1,828,363   ",65.3   ,"1,721,050   ",61.4   ,"107,313   ",5.9   
28,Mississippi,1976,04,"1,650,000   ","953,629   ",57.8   ,"902,011   ",54.7   ,"51,618   ",5.4   
29,Missouri,1976,04,"3,477,000   ","2,088,240   ",60.1   ,"1,971,241   ",56.7   ,"116,999   ",5.6   
30,Montana,1976,04,"534,000   ","326,286   ",61.1   ,"306,599   ",57.4   ,"19,687   ",6.0   
31,Nebraska,1976,04,"1,098,000   ","715,177   ",65.1   ,"694,805   ",63.3   ,"20,372   ",2.8   
32,Nevada,1976,04,"458,000   ","320,720   ",70.0   ,"293,401   ",64.1   ,"27,319   ",8.5   
33,New Hampshire,1976,04,"598,000   ","387,074   ",64.7   ,"360,590   ",60.3   ,"26,484   ",6.8   
34,New Jersey,1976,04,"5,372,000   ","3,261,860   ",60.7   ,"2,935,305   ",54.6   ,"326,555   ",10.0   
35,New Mexico,1976,04,"801,000   ","470,977   ",58.8   ,"431,765   ",53.9   ,"39,212   ",8.3   
36,New York,1976,04,"13,213,000   ","7,599,219   ",57.5   ,"6,855,384   ",51.9   ,"743,835   ",9.8   
51000,New York city,1976,04,"5,689,000   ","3,082,799   ",54.2   ,"2,764,663   ",48.6   ,"318,136   ",10.3   
37,North Carolina,1976,04,"3,919,000   ","2,568,856   ",65.5   ,"2,421,717   ",61.8   ,"147,139   ",5.7   
38,North Dakota,1976,04,"444,000   ","273,787   ",61.7   ,"264,226   ",59.5   ,"9,561   ",3.5   
39,Ohio,1976,04,"7,716,000   ","4,728,028   ",61.3   ,"4,354,178   ",56.4   ,"373,850   ",7.9   
40,Oklahoma,1976,04,"2,011,000   ","1,176,572   ",58.5   ,"1,113,180   ",55.4   ,"63,392   ",5.4   
41,Oregon,1976,04,"1,728,000   ","1,064,491   ",61.6   ,"960,930   ",55.6   ,"103,561   ",9.7   
42,Pennsylvania,1976,04,"8,792,000   ","5,059,314   ",57.5   ,"4,661,192   ",53.0   ,"398,122   ",7.9   
44,Rhode Island,1976,04,"693,000   ","429,848   ",62.0   ,"396,199   ",57.2   ,"33,649   ",7.8   
45,South Carolina,1976,04,"1,996,000   ","1,284,367   ",64.3   ,"1,201,565   ",60.2   ,"82,802   ",6.4   
46,South Dakota,1976,04,"479,000   ","307,018   ",64.1   ,"297,814   ",62.2   ,"9,204   ",3.0   
47,Tennessee,1976,04,"3,097,000   ","1,804,989   ",58.3   ,"1,706,217   ",55.1   ,"98,772   ",5.5   
48,Texas,1976,04,"8,896,000   ","5,612,442   ",63.1   ,"5,322,439   ",59.8   ,"290,003   ",5.2   
49,Utah,1976,04,"830,000   ","513,270   ",61.8   ,"484,870   ",58.4   ,"28,400   ",5.5   
50,Vermont,1976,04,"341,000   ","209,384   ",61.4   ,"190,478   ",55.9   ,"18,906   ",9.0   
51,Virginia,1976,04,"3,559,000   ","2,321,398   ",65.2   ,"2,195,547   ",61.7   ,"125,851   ",5.4   
53,Washington,1976,04,"2,617,000   ","1,570,974   ",60.0   ,"1,437,108   ",54.9   ,"133,866   ",8.5   
54,West Virginia,1976,04,"1,360,000   ","699,852   ",51.5   ,"643,509   ",47.3   ,"56,343   ",8.1   
55,Wisconsin,1976,04,"3,256,000   ","2,102,720   ",64.6   ,"1,984,251   ",60.9   ,"118,469   ",5.6   
56,Wyoming,1976,04,"273,000   ","174,018   ",63.7   ,"166,755   ",61.1   ,"7,263   ",4.2   
01,Alabama,1976,05,"2,626,000   ","1,471,784   ",56.0   ,"1,395,094   ",53.1   ,"76,690   ",5.2   
02,Alaska,1976,05,"239,000   ","162,507   ",68.0   ,"151,144   ",63.2   ,"11,363   ",7.0   
04,Arizona,1976,05,"1,642,000   ","962,437   ",58.6   ,"880,119   ",53.6   ,"82,318   ",8.6   
05,Arkansas,1976,05,"1,542,000   ","886,220   ",57.5   ,"827,974   ",53.7   ,"58,246   ",6.6   
06,California,1976,05,"15,768,000   ","9,717,079   ",61.6   ,"8,960,148   ",56.8   ,"756,931   ",7.8   
037,Los Angeles County,1976,05,"5,311,000   ","3,335,274   ",62.8   ,"3,080,716   ",58.0   ,"254,558   ",7.6   
08,Colorado,1976,05,"1,850,000   ","1,209,221   ",65.4   ,"1,153,512   ",62.4   ,"55,709   ",4.6   
09,Connecticut,1976,05,"2,257,000   ","1,442,693   ",63.9   ,"1,312,876   ",58.2   ,"129,817   ",9.0   
10,Delaware,1976,05,"420,000   ","262,030   ",62.4   ,"241,432   ",57.5   ,"20,598   ",7.9   
11,District of Columbia,1976,05,"518,000   ","332,606   ",64.2   ,"304,351   ",58.8   ,"28,255   ",8.5   
12,Florida,1976,05,"6,483,000   ","3,559,671   ",54.9   ,"3,285,567   ",50.7   ,"274,104   ",7.7   
13,Georgia,1976,05,"3,547,000   ","2,235,249   ",63.0   ,"2,075,975   ",58.5   ,"159,274   ",7.1   
15,Hawaii,1976,05,"590,000   ","409,683   ",69.4   ,"371,102   ",62.9   ,"38,581   ",9.4   
16,Idaho,1976,05,"587,000   ","367,905   ",62.7   ,"351,543   ",59.9   ,"16,362   ",4.4   
17,Illinois,1976,05,"8,164,000   ","5,080,094   ",62.2   ,"4,802,944   ",58.8   ,"277,150   ",5.5   
